,Date,pm25,co,no2
416,2020-01-01,95.0,48.0,82.0
306,2020-01-02,128.0,114.0,107.0
355,2020-01-03,116.0,120.0,120.0
437,2020-01-04,115.0,120.0,112.0
291,2020-01-05,71.0,107.0,88.0
445,2020-01-06,102.0,120.0,120.0
417,2020-01-07,113.0,120.0,118.0
362,2020-01-08,129.0,115.0,103.0
466,2020-01-09,122.0,120.0,103.0
350,2020-01-10,139.0,116.0,112.0
332,2020-01-11,138.0,115.0,80.0
432,2020-01-12,111.0,110.0,55.0
316,2020-01-13,122.0,120.0,113.0
292,2020-01-14,137.0,114.0,99.0
420,2020-01-15,131.0,112.0,116.0
293,2020-01-16,126.0,116.0,112.0
379,2020-01-17,102.0,114.0,90.0
455,2020-01-18,131.0,116.0,114.0
307,2020-01-19,137.0,120.0,115.0
456,2020-01-20,119.0,102.0,98.0
410,2020-01-21,121.0,137.0,138.0
317,2020-01-22,142.0,144.0,140.0
433,2020-01-23,142.0,138.0,133.0
308,2020-01-24,136.0,144.0,141.0
446,2020-01-25,124.0,144.0,104.0
373,2020-01-26,100.0,138.0,117.0
281,2020-01-27,114.0,144.0,134.0
390,2020-01-28,116.0,144.0,112.0
282,2020-01-29,112.0,138.0,114.0
297,2020-01-30,124.0,144.0,140.0
434,2020-01-31,141.0,144.0,138.0
326,2020-02-01,143.0,137.0,132.0
406,2020-02-02,144.0,144.0,136.0
380,2020-02-03,141.0,144.0,138.0
363,2020-02-04,139.0,138.0,125.0
294,2020-02-05,134.0,143.0,142.0
318,2020-02-06,131.0,143.0,138.0
368,2020-02-07,109.0,138.0,123.0
283,2020-02-08,124.0,140.0,87.0
398,2020-02-09,114.0,47.0,95.0
399,2020-02-10,113.0,45.0,83.0
301,2020-02-11,116.0,48.0,94.0
345,2020-02-12,104.0,48.0,89.0
411,2020-02-13,115.0,44.0,81.0
457,2020-02-14,109.0,48.0,83.0
346,2020-02-15,99.0,47.0,89.0
356,2020-02-16,119.0,46.0,75.0
284,2020-02-17,116.0,45.0,92.0
351,2020-02-18,113.0,46.0,89.0
347,2020-02-19,97.0,30.0,73.0
369,2020-02-20,83.0,29.0,90.0
391,2020-02-21,101.0,41.0,73.0
427,2020-02-22,119.0,43.0,58.0
370,2020-02-23,120.0,43.0,69.0
428,2020-02-24,133.0,118.0,81.0
471,2020-02-25,142.0,134.0,90.0
302,2020-02-26,143.0,141.0,138.0
429,2020-02-27,102.0,140.0,110.0
364,2020-02-28,103.0,134.0,96.0
403,2020-02-29,126.0,143.0,112.0
298,2020-03-01,123.0,132.0,98.0
365,2020-03-02,88.0,76.0,73.0
352,2020-03-03,91.0,95.0,94.0
353,2020-03-04,125.0,131.0,124.0
348,2020-03-05,117.0,116.0,102.0
277,2020-03-06,133.0,142.0,119.0
381,2020-03-07,104.0,101.0,86.0
472,2020-03-08,133.0,135.0,114.0
473,2020-03-09,140.0,141.0,134.0
383,2020-03-10,140.0,141.0,133.0
404,2020-03-11,121.0,136.0,121.0
327,2020-03-12,133.0,129.0,126.0
392,2020-03-13,132.0,141.0,132.0
407,2020-03-14,117.0,130.0,78.0
359,2020-03-15,125.0,142.0,113.0
278,2020-03-16,108.0,142.0,123.0
299,2020-03-17,130.0,130.0,120.0
458,2020-03-18,123.0,141.0,114.0
337,2020-03-19,115.0,136.0,115.0
447,2020-03-20,126.0,117.0,120.0
418,2020-03-21,122.0,112.0,79.0
467,2020-03-22,129.0,108.0,116.0
451,2020-03-23,126.0,126.0,116.0
400,2020-03-24,110.0,144.0,132.0
303,2020-03-25,125.0,144.0,109.0
438,2020-03-26,125.0,126.0,125.0
374,2020-03-27,111.0,118.0,119.0
328,2020-03-28,138.0,144.0,134.0
474,2020-03-29,123.0,107.0,77.0
439,2020-03-30,115.0,139.0,92.0
419,2020-03-31,137.0,116.0,108.0
452,2020-04-01,116.0,120.0,112.0
384,2020-04-02,107.0,129.0,108.0
357,2020-04-03,102.0,129.0,94.0
468,2020-04-04,121.0,102.0,67.0
382,2020-04-05,119.0,120.0,95.0
421,2020-04-06,85.0,114.0,100.0
440,2020-04-07,102.0,124.0,109.0
338,2020-04-08,116.0,132.0,132.0
319,2020-04-09,105.0,130.0,129.0
304,2020-04-10,99.0,113.0,71.0
312,2020-04-11,105.0,126.0,87.0
436,2020-04-12,135.0,129.0,111.0
412,2020-04-13,139.0,105.0,86.0
408,2020-04-14,104.0,139.0,91.0
313,2020-04-15,115.0,137.0,122.0
448,2020-04-16,120.0,121.0,90.0
279,2020-04-17,128.0,132.0,107.0
275,2020-04-18,125.0,127.0,132.0
409,2020-04-19,143.0,124.0,92.0
341,2020-04-20,123.0,128.0,123.0
430,2020-04-21,129.0,132.0,118.0
300,2020-04-22,118.0,117.0,61.0
469,2020-04-23,127.0,121.0,104.0
333,2020-04-24,141.0,137.0,125.0
309,2020-04-25,143.0,132.0,126.0
413,2020-04-26,135.0,128.0,103.0
435,2020-04-27,100.0,100.0,80.0
375,2020-04-28,123.0,122.0,101.0
371,2020-04-29,128.0,123.0,124.0
462,2020-04-30,141.0,124.0,105.0
393,2020-05-01,126.0,124.0,126.0
310,2020-05-02,115.0,139.0,78.0
453,2020-05-03,139.0,144.0,106.0
422,2020-05-04,96.0,127.0,78.0
423,2020-05-05,93.0,111.0,69.0
376,2020-05-06,114.0,144.0,111.0
405,2020-05-07,109.0,131.0,98.0
311,2020-05-08,109.0,139.0,109.0
329,2020-05-09,94.0,124.0,67.0
414,2020-05-10,116.0,132.0,75.0
360,2020-05-11,120.0,144.0,133.0
280,2020-05-12,100.0,139.0,85.0
322,2020-05-13,110.0,107.0,71.0
441,2020-05-14,126.0,144.0,87.0
442,2020-05-15,139.0,144.0,113.0
349,2020-05-16,113.0,127.0,70.0
334,2020-05-17,136.0,144.0,116.0
454,2020-05-18,132.0,144.0,123.0
401,2020-05-19,129.0,52.0,78.0
394,2020-05-20,120.0,94.0,114.0
342,2020-05-21,137.0,137.0,131.0
424,2020-05-22,143.0,127.0,90.0
343,2020-05-23,142.0,137.0,62.0
377,2020-05-24,139.0,124.0,65.0
288,2020-05-25,144.0,129.0,70.0
285,2020-05-26,134.0,144.0,116.0
443,2020-05-27,113.0,139.0,118.0
339,2020-05-28,121.0,132.0,91.0
289,2020-05-29,125.0,144.0,92.0
314,2020-05-30,107.0,134.0,77.0
444,2020-05-31,92.0,27.0,51.0
425,2020-06-01,97.0,49.0,91.0
463,2020-06-02,117.0,123.0,124.0
295,2020-06-03,117.0,132.0,126.0
395,2020-06-04,114.0,130.0,130.0
385,2020-06-05,130.0,130.0,132.0
344,2020-06-06,135.0,126.0,97.0
459,2020-06-07,135.0,114.0,85.0
396,2020-06-08,122.0,128.0,102.0
340,2020-06-09,128.0,114.0,108.0
358,2020-06-10,132.0,111.0,96.0
397,2020-06-11,127.0,117.0,99.0
336,2020-06-12,117.0,105.0,95.0
315,2020-06-13,92.0,101.0,99.0
464,2020-06-14,116.0,116.0,90.0
449,2020-06-15,123.0,110.0,78.0
470,2020-06-16,131.0,127.0,123.0
387,2020-06-17,141.0,129.0,121.0
366,2020-06-18,121.0,123.0,123.0
354,2020-06-19,91.0,135.0,93.0
388,2020-06-20,108.0,131.0,104.0
296,2020-06-21,116.0,129.0,109.0
460,2020-06-22,77.0,121.0,114.0
286,2020-06-23,122.0,135.0,107.0
450,2020-06-24,125.0,125.0,106.0
287,2020-06-25,133.0,128.0,134.0
320,2020-06-26,144.0,129.0,128.0
465,2020-06-27,144.0,121.0,120.0
367,2020-06-28,129.0,125.0,126.0
426,2020-06-29,114.0,120.0,140.0
461,2020-06-30,102.0,111.0,106.0
372,2020-07-01,91.0,129.0,144.0
431,2020-07-02,102.0,137.0,138.0
386,2020-07-03,109.0,97.0,83.0
276,2020-07-04,101.0,123.0,100.0
378,2020-07-05,120.0,143.0,117.0
389,2020-07-06,100.0,118.0,114.0
321,2020-07-07,122.0,141.0,114.0
335,2020-07-08,129.0,141.0,102.0
415,2020-07-09,136.0,119.0,110.0
323,2020-07-10,111.0,125.0,112.0
324,2020-07-11,124.0,137.0,77.0
290,2020-07-12,129.0,124.0,49.0
361,2020-07-13,117.0,71.0,120.0
331,2020-07-14,94.0,18.0,104.0
325,2020-07-15,101.0,95.0,68.0
330,2020-07-16,65.0,58.0,66.0
